05-22 21:21:22: Training starting...
05-22 21:21:22: New best reward 11.0 (-100.0%) at episode 0, saving model...
05-22 21:21:22: New best reward 34.0 (+209.1%) at episode 1, saving model...
05-22 21:21:22: New best reward 38.0 (+11.8%) at episode 6, saving model...
05-22 21:21:22: New best reward 39.0 (+2.6%) at episode 17, saving model...
05-22 21:21:22: New best reward 44.0 (+12.8%) at episode 31, saving model...
05-22 21:21:22: New best reward 58.0 (+31.8%) at episode 58, saving model...
05-22 21:21:22: New best reward 71.0 (+22.4%) at episode 277, saving model...
05-22 21:21:22: New best reward 85.0 (+19.7%) at episode 543, saving model...
05-22 21:21:23: New best reward 88.0 (+3.5%) at episode 792, saving model...
05-22 21:21:23: New best reward 93.0 (+5.7%) at episode 1088, saving model...
05-22 21:21:23: New best reward 132.0 (+41.9%) at episode 1594, saving model...
05-22 21:21:24: New best reward 135.0 (+2.3%) at episode 2654, saving model...
05-22 21:21:25: New best reward 136.0 (+0.7%) at episode 3298, saving model...
05-22 21:21:25: New best reward 155.0 (+14.0%) at episode 3976, saving model...
05-22 21:21:26: New best reward 204.0 (+31.6%) at episode 5178, saving model...
05-22 21:21:34: New best reward 217.0 (+6.4%) at episode 10153, saving model...
05-22 21:21:35: New best reward 227.0 (+4.6%) at episode 11276, saving model...
05-22 21:21:37: New best reward 254.0 (+11.9%) at episode 12286, saving model...
05-22 21:21:38: New best reward 268.0 (+5.5%) at episode 13207, saving model...
05-22 21:21:47: New best reward 299.0 (+11.6%) at episode 16833, saving model...
05-22 21:21:48: New best reward 330.0 (+10.4%) at episode 17208, saving model...
05-22 21:22:06: New best reward 413.0 (+25.2%) at episode 23405, saving model...
05-22 21:22:09: New best reward 420.0 (+1.7%) at episode 24703, saving model...
05-22 21:22:30: New best reward 521.0 (+24.0%) at episode 30575, saving model...
05-22 21:23:28: New best reward 813.0 (+56.0%) at episode 41092, saving model...
05-22 21:28:02: New best reward 857.0 (+5.4%) at episode 66664, saving model...
05-22 21:36:22: New best reward 1065.0 (+24.3%) at episode 77973, saving model...
